曜日,時限,科目名,担当教員,教室,学年,学期,単位,区分,URL,成績評価
月,"3","物理数学","米田　元","",3,"fall",2,"数学科非共通(選択算入)","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2601023013012026260202200126&pLng=jp","割合\n評価基準\n\n\n試験:\n\n50％\n\n試験の点数\n平常点評価:\n\n50％\n\n課題の提出"
木,"4","保険数学","土井　和行","",3,"fall",2,"数学科非共通(選択算入)","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2601023015012026260102301526&pLng=jp","割合\n評価基準\n\n\nレポート:\n\n90％\n\n２回のレポートの提出\n平常点評価:\n\n10％\n\n講義での積極的な発言（質問やコメントなど）を評価します。\nどんな質問・コメントでも得点を与えます。"
月,"","数学特別演習","","",3,"",2,"数学科非共通(選択算入)","",""
火,"4","ベクトル空間と幾何","池田　岳","",2,"spring,fall",4,"数学科非共通(選択算入)","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2601012005012026260101200526&pLng=jp","割合\n評価基準\n\n\n試験:\n\n0％\n\n試験は実施しない．\nレポート:\n\n100％\n\n毎回，講義内容に即した演習問題を出題するので Moodle 上に提出する．\n平常点評価:\n\n0％\n\nなし．\nその他:\n\n0％\n\nなし．"
火,"3","代数学Ｄ１","永井　保成","",4,"spring",2,"数学科非共通(選択算入)","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2601024001012026260102400126&pLng=jp","学期末レポート課題により評価する．"
水,"3","代数学Ｅ１","尾崎　学","",4,"spring",2,"数学科非共通(選択算入)","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2601024003012026260102400326&pLng=jp","評価はレポートによって行う。"
月,"3","幾何学Ｄ１","池田　岳","",4,"spring",2,"数学科非共通(選択算入)","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2601024005012026260102400526&pLng=jp","割合\n評価基準\n\n\n試験:\n\n0％\n\n実施しない\nレポート:\n\n100％\n\n課題を出題する．5回程度．\n平常点評価:\n\n0％\n\n特になし．\nその他:\n\n0％\n\n特になし．"
火,"3","幾何学Ｄ２","金沢　篤","",4,"fall",2,"数学科非共通(選択算入)","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2601024006012026260102400626&pLng=jp","割合\n評価基準\n\n\nレポート:\n\n100％\n\nレポート."
月,"4","幾何学Ｅ１","長友　康行","",4,"spring",2,"数学科非共通(選択算入)","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2601024007012026260102400726&pLng=jp","★ 平常点（20%）とレポート（80%）で総合的に評価します. 満点は140点とし, 90点以上を A+ とし, それ以下は10点刻みで評定します.\n★ 平常点は, 教室での受講者に対してのみ与えられます.\n★ 授業は教室で受けないと「欠席」扱いになります."
金,"2","関数論Ｃ","竹村　剛一","",4,"spring",2,"数学科非共通(選択算入)","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2601024009012026260102400926&pLng=jp","出席状況とレポートによる。"
月,"2","応用数学Ａ","穂刈　享","",4,"spring",2,"数学科非共通(選択算入)","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2601024016012026260102401626&pLng=jp","割合\n評価基準\n\n\n試験:\n\n50％\n\n学期末試験\nレポート:\n\n50％\n\nレポート課題 (隔週)"
水,"3","数学史","坂口　勝彦","",4,"spring",2,"数学科非共通(選択算入)","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2601024019012026260102401926&pLng=jp","割合\n評価基準\n\n\nレポート:\n\n40％\n\n最終レポート。課題は春学期が終わる頃に提示します。\n平常点評価:\n\n60％\n\n毎回提出してもらう課題。"
火,"4","確率論Ａ","熊谷　隆","",4,"spring",2,"数学科非共通(選択算入)","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2601024039012026260102403926&pLng=jp","割合\n評価基準\n\n\nレポート:\n\n80％\n\n講義中に出題された問題について，レポートをまとめ提出する。\nSubmit reports on exercises/problems that are given during the lectures.\n\n平常点評価:\n\n20％\n\n講義に積極的に参加することが求められる。\nAttend the lectures."
月,"2","代数学Ｄ２","長岡　大","",4,"fall",2,"数学科非共通(選択算入)","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2601024002012026260102400226&pLng=jp","割合\n評価基準\n\n\n試験:\n\n0％\n\nなし\nレポート:\n\n100％\n\n授業中に出した問題および自分で考えた講義に関係する内容のレポート\n平常点評価:\n\n0％\n\nなし\nその他:\n\n0％\n\nなし"
